                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,      train/dehaze_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,        val/dehaze_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     41,                 1.4075,                 2.1868,                 1.7799,                0.00905,                0.37332,                0.34566,                 0.2988,                0.15989,                 1.5768,                 2.1618,                  1.976,                      0,                0.00604,                0.00604,                0.00604
                     42,                 1.4062,                 2.1746,                  1.789,                0.00909,                0.38208,                0.36337,                0.32754,                0.18312,                 1.5569,                 2.0974,                  1.943,                      0,               0.005941,               0.005941,               0.005941
                     43,                 1.4093,                   2.18,                 1.7867,                  0.009,                0.40018,                 0.3526,                0.33224,                0.18344,                 1.5561,                 2.1053,                 1.9486,                      0,               0.005842,               0.005842,               0.005842
                     44,                   1.39,                 2.1783,                 1.7786,                0.00896,                0.38673,                0.35845,                0.33479,                0.18916,                 1.5344,                 2.0829,                 1.9372,                      0,               0.005743,               0.005743,               0.005743
                     45,                 1.3956,                 2.1483,                 1.7712,                0.00901,                0.42501,                0.35097,                0.33235,                0.18334,                 1.5352,                 2.0731,                 1.9157,                      0,               0.005644,               0.005644,               0.005644
                     46,                 1.3846,                 2.1253,                 1.7557,                0.00888,                0.38848,                0.37459,                0.33409,                0.18735,                 1.5356,                 2.0645,                 1.9199,                      0,               0.005545,               0.005545,               0.005545
                     47,                 1.3697,                 2.0885,                 1.7581,                0.00891,                0.41353,                0.37101,                 0.3543,                0.19896,                 1.5251,                 2.0537,                 1.9174,                      0,               0.005446,               0.005446,               0.005446
                     48,                 1.3771,                 2.0847,                 1.7473,                0.00888,                 0.4244,                0.38285,                0.36214,                0.20729,                 1.5185,                 2.0502,                 1.9183,                      0,               0.005347,               0.005347,               0.005347
                     49,                 1.3611,                 2.0842,                 1.7419,                0.00889,                0.41753,                0.36772,                0.35061,                0.19682,                 1.5291,                 2.0435,                 1.9155,                      0,               0.005248,               0.005248,               0.005248
                     50,                 1.3653,                 2.0654,                 1.7399,                0.00891,                0.44556,                0.36368,                0.36292,                0.20459,                 1.5299,                 2.0273,                 1.9122,                      0,               0.005149,               0.005149,               0.005149
                     51,                 1.3543,                  2.052,                 1.7329,                0.00893,                0.42718,                0.36879,                0.36607,                0.20428,                 1.5311,                 2.0272,                 1.9242,                      0,                0.00505,                0.00505,                0.00505
                     52,                 1.3458,                 2.0288,                 1.7242,                0.00888,                0.43603,                0.37205,                0.36332,                0.20462,                 1.5238,                 2.0135,                  1.904,                      0,               0.004951,               0.004951,               0.004951
                     53,                 1.3262,                 2.0166,                  1.713,                0.00897,                0.43836,                 0.3854,                0.36995,                0.21109,                 1.5204,                 1.9868,                 1.9151,                      0,               0.004852,               0.004852,               0.004852
                     54,                 1.3416,                 1.9911,                 1.7241,                0.00888,                0.44597,                0.39088,                0.38295,                0.21739,                  1.512,                 1.9785,                 1.8934,                      0,               0.004753,               0.004753,               0.004753
                     55,                  1.337,                 1.9812,                 1.7068,                0.00886,                0.47306,                0.37692,                0.37508,                0.21232,                 1.5078,                  1.979,                 1.8986,                      0,               0.004654,               0.004654,               0.004654
                     56,                 1.3257,                 1.9577,                  1.699,                0.00893,                 0.4429,                0.38179,                0.38361,                0.21991,                 1.5078,                  1.966,                  1.889,                      0,               0.004555,               0.004555,               0.004555
                     57,                 1.3287,                 1.9623,                 1.7097,                 0.0089,                0.45573,                0.39811,                0.38609,                0.22168,                 1.4982,                 1.9555,                 1.8917,                      0,               0.004456,               0.004456,               0.004456
                     58,                 1.3075,                 1.9427,                 1.6992,                0.00889,                0.42693,                0.39871,                0.37776,                0.21558,                 1.5108,                 1.9744,                 1.8952,                      0,               0.004357,               0.004357,               0.004357
                     59,                 1.3117,                 1.9211,                 1.6973,                 0.0089,                0.45531,                0.40772,                0.40044,                0.22934,                 1.4901,                 1.9301,                 1.8936,                      0,               0.004258,               0.004258,               0.004258
                     60,                 1.3019,                 1.9209,                 1.6888,                0.00884,                0.42713,                 0.4109,                0.38755,                0.22129,                 1.4928,                 1.9426,                 1.8784,                      0,               0.004159,               0.004159,               0.004159
                     61,                 1.3004,                 1.9087,                 1.6848,                0.00887,                0.47997,                0.40443,                0.41248,                 0.2384,                 1.4863,                 1.9293,                  1.872,                      0,                0.00406,                0.00406,                0.00406
                     62,                 1.2999,                 1.8911,                  1.687,                0.00885,                0.46787,                0.41095,                0.39919,                0.22919,                 1.4874,                  1.931,                 1.8714,                      0,               0.003961,               0.003961,               0.003961
                     63,                 1.2917,                 1.8866,                 1.6847,                0.00883,                0.44598,                0.39797,                0.39332,                0.22731,                 1.4798,                 1.9288,                 1.8696,                      0,               0.003862,               0.003862,               0.003862
                     64,                 1.2774,                 1.8751,                 1.6677,                0.00888,                0.46222,                0.41389,                0.40679,                0.23727,                 1.4802,                  1.908,                  1.862,                      0,               0.003763,               0.003763,               0.003763
                     65,                 1.2827,                 1.8552,                 1.6655,                0.00881,                0.46854,                0.39411,                 0.3968,                0.22807,                 1.4757,                  1.896,                 1.8695,                      0,               0.003664,               0.003664,               0.003664
                     66,                  1.286,                 1.8515,                 1.6752,                0.00886,                0.48412,                0.39767,                0.40955,                0.23737,                 1.4726,                 1.8799,                 1.8572,                      0,               0.003565,               0.003565,               0.003565
                     67,                 1.2709,                 1.8377,                 1.6525,                0.00882,                 0.4853,                0.40718,                 0.4058,                0.23677,                 1.4805,                 1.8926,                 1.8628,                      0,               0.003466,               0.003466,               0.003466
                     68,                 1.2625,                 1.8237,                  1.651,                0.00883,                0.46839,                0.41647,                0.41024,                0.23901,                 1.4882,                 1.9031,                  1.864,                      0,               0.003367,               0.003367,               0.003367
                     69,                 1.2586,                  1.822,                 1.6472,                0.00884,                0.49972,                0.40672,                0.41536,                0.24272,                 1.4772,                  1.883,                 1.8613,                      0,               0.003268,               0.003268,               0.003268
                     70,                 1.2613,                  1.805,                 1.6567,                0.00882,                0.50707,                 0.4111,                0.42221,                0.24676,                  1.467,                 1.8459,                 1.8541,                      0,               0.003169,               0.003169,               0.003169
                     71,                 1.2547,                 1.7922,                 1.6387,                0.00875,                0.50626,                0.40146,                 0.4198,                0.24569,                 1.4703,                 1.8632,                  1.845,                      0,                0.00307,                0.00307,                0.00307
                     72,                 1.2602,                 1.7969,                 1.6547,                0.00879,                0.48157,                0.41402,                0.41886,                0.24537,                 1.4644,                 1.8713,                  1.843,                      0,               0.002971,               0.002971,               0.002971
                     73,                 1.2456,                  1.776,                 1.6377,                 0.0088,                0.51202,                0.42061,                0.42858,                0.25284,                 1.4574,                 1.8554,                 1.8349,                      0,               0.002872,               0.002872,               0.002872
                     74,                 1.2559,                 1.7624,                 1.6386,                0.00884,                0.47988,                0.41903,                0.42104,                0.24675,                 1.4725,                 1.8517,                 1.8379,                      0,               0.002773,               0.002773,               0.002773
                     75,                 1.2528,                 1.7703,                 1.6356,                0.00873,                0.49924,                0.41132,                0.42414,                0.24723,                 1.4674,                 1.8365,                 1.8446,                      0,               0.002674,               0.002674,               0.002674
                     76,                 1.2402,                 1.7509,                 1.6331,                0.00882,                0.51711,                0.41211,                0.43107,                0.25354,                 1.4617,                 1.8321,                 1.8452,                      0,               0.002575,               0.002575,               0.002575
                     77,                 1.2123,                 1.6996,                 1.6102,                0.00881,                 0.4895,                0.42973,                0.43371,                0.25507,                 1.4562,                  1.825,                 1.8371,                      0,               0.002476,               0.002476,               0.002476
                     78,                 1.2289,                 1.7376,                 1.6296,                0.00872,                0.49903,                0.42363,                0.43501,                0.25804,                 1.4588,                 1.8299,                 1.8304,                      0,               0.002377,               0.002377,               0.002377
                     79,                 1.2182,                 1.7325,                 1.6114,                0.00869,                0.53713,                0.40887,                0.43355,                0.25637,                 1.4545,                  1.822,                 1.8326,                      0,               0.002278,               0.002278,               0.002278
                     80,                 1.2313,                 1.7206,                 1.6178,                0.00875,                0.53244,                0.41614,                0.44353,                0.26437,                 1.4527,                 1.8089,                 1.8281,                      0,               0.002179,               0.002179,               0.002179
                     81,                 1.2206,                 1.6985,                 1.6055,                0.00877,                0.52325,                0.42098,                0.44455,                0.26141,                 1.4575,                 1.8134,                 1.8344,                      0,                0.00208,                0.00208,                0.00208
                     82,                 1.2013,                 1.6818,                 1.6059,                0.00876,                 0.5214,                0.41891,                0.44087,                0.26243,                 1.4525,                 1.8081,                 1.8336,                      0,               0.001981,               0.001981,               0.001981
                     83,                 1.1929,                 1.6581,                 1.5869,                0.00879,                 0.5146,                0.43103,                0.44235,                0.26188,                 1.4523,                 1.8061,                 1.8274,                      0,               0.001882,               0.001882,               0.001882
                     84,                 1.2044,                  1.663,                 1.5877,                0.00869,                0.52293,                 0.4293,                0.44499,                0.26706,                  1.451,                 1.8146,                 1.8259,                      0,               0.001783,               0.001783,               0.001783
                     85,                 1.1919,                 1.6637,                 1.5888,                0.00879,                0.51521,                 0.4412,                0.44844,                0.26617,                 1.4541,                  1.801,                  1.834,                      0,               0.001684,               0.001684,               0.001684
                     86,                 1.1943,                 1.6606,                 1.5962,                 0.0087,                0.56479,                0.39816,                0.44679,                 0.2679,                 1.4474,                    1.8,                 1.8291,                      0,               0.001585,               0.001585,               0.001585
                     87,                 1.1986,                 1.6659,                 1.5931,                 0.0087,                0.52239,                0.42635,                 0.4481,                0.26757,                 1.4453,                 1.7767,                 1.8196,                      0,               0.001486,               0.001486,               0.001486
                     88,                 1.1796,                 1.6337,                 1.5821,                0.00874,                0.55143,                0.41909,                0.44822,                0.27001,                  1.446,                 1.7868,                  1.824,                      0,               0.001387,               0.001387,               0.001387
                     89,                 1.1722,                 1.6344,                  1.574,                0.00879,                 0.5172,                  0.429,                0.44883,                0.26952,                 1.4377,                 1.7816,                 1.8175,                      0,               0.001288,               0.001288,               0.001288
                     90,                 1.1446,                 1.4389,                 1.5681,                0.00707,                0.55833,                0.41299,                0.44506,                0.26509,                 1.4446,                 1.7879,                 1.8261,                      0,               0.001189,               0.001189,               0.001189
                     91,                 1.1126,                 1.3717,                 1.5441,                  0.007,                0.51672,                 0.4403,                0.44603,                0.26551,                 1.4478,                 1.7851,                 1.8322,                      0,                0.00109,                0.00109,                0.00109
                     92,                 1.1112,                 1.3521,                 1.5433,                0.00696,                0.51521,                0.43081,                0.44901,                0.26835,                 1.4493,                 1.7942,                 1.8357,                      0,               0.000991,               0.000991,               0.000991
                     93,                  1.097,                 1.3401,                 1.5342,                0.00699,                0.51397,                 0.4521,                0.45552,                0.27209,                 1.4382,                  1.774,                 1.8296,                      0,               0.000892,               0.000892,               0.000892
                     94,                 1.0994,                 1.3351,                 1.5431,                0.00696,                0.54373,                0.43579,                0.45781,                0.27299,                 1.4388,                 1.7835,                 1.8325,                      0,               0.000793,               0.000793,               0.000793
                     95,                 1.0881,                 1.3146,                 1.5302,                0.00694,                0.51561,                0.45216,                0.46254,                0.27762,                 1.4412,                 1.7724,                 1.8365,                      0,               0.000694,               0.000694,               0.000694
                     96,                 1.0775,                 1.2996,                  1.515,                0.00686,                0.51389,                0.45081,                0.45918,                0.27534,                 1.4413,                 1.7753,                 1.8336,                      0,               0.000595,               0.000595,               0.000595
                     97,                 1.0728,                 1.2793,                 1.5137,                0.00685,                0.53836,                0.44396,                0.46238,                0.27893,                  1.436,                 1.7709,                  1.828,                      0,               0.000496,               0.000496,               0.000496
                     98,                 1.0699,                 1.2742,                 1.5082,                0.00682,                0.53301,                0.43933,                0.46026,                0.27671,                 1.4406,                 1.7788,                 1.8349,                      0,               0.000397,               0.000397,               0.000397
                     99,                  1.071,                   1.27,                 1.5035,                0.00685,                0.53082,                0.44414,                0.45955,                0.27617,                 1.4404,                 1.7766,                 1.8332,                      0,               0.000298,               0.000298,               0.000298
